Afghani;AFN;971
Aruban Florin;AWG;533
Australian Dollar;AUD;36
Azerbaijanian Manat;AZN;944
Baht;THB;764
Balboa;PAB;590
Birr Éthiopienne;ETB;230
Bolivar;VEF;937
Boliviano;BOB;68
Brunei Dollar;BND;96
Cabo Verde Escudo;CVE;132
Cayman Islands Dollar;KYD;136
Cedi du Ghana;GHS;936
CFA Franc BCEAO;XOF;952
CFA Franc BEAC;XAF;950
Cordoba;NIO;558
Costa Rican Colon;CRC;188
Couronne Danoise;DKK;208
Couronne Islandaise;ISK;352
Couronne Norvégienne;NOK;578
Couronne Suédoise;SEK;752
Couronne Tchèque;CZK;203
Dalasi;GMD;270
Denar;MKD;807
Dinar Bahraini;BHD;48
Dinar Iraquien;IQD;368
Dinar Kowaitien;KWD;414
Dinar Serbe;RSD;941
Dinars algériens;DZD;12
Dinars Jordanien;JOD;400
Dinars Libien;LYD;434
Dinars Tunisiens;TND;788
Dirham Marocain;MAD;504
Dirham Maroccain;MAD;504
Dirham UAE;AED;784
Dobra;STD;678
Dollar Australien;AUD;36
Dollar Bahaméen;BSD;44
Dollar Bermudien;BMD;60
Dollar Canadien;CAD;124
Dollar de Bélize;BZD;84
Dollar de Hong Kong;HKD;344
Dollar des Caraïbes orientales;XCD;951
Dollar des Fiji;FJD;242
Dollar des îles Solomon;SBD;90
Dollar du Liberia;LRD;430
Dollar guyanien;GYD;328
Dollar Namibien;NAD;516
Dollar Néo-Zélandais;NZD;554
Dollar Singaporien;SGD;702
Dollar US;USD;840
Dollars Australiens;AUD;36
Dollars Barbados;BBD;52
Dollars de Trinidad et Tobago;TTD;780
Dollars du Surinam;SRD;968
Dollars du Zimbabwe;ZWL;932
Dollars Jamaicain;JMD;388
Dong;VND;704
Dram Armenien;AMD;51
Euro;EUR;978
Florin des Antilles néerlandaises;ANG;532
Forint;HUF;348
Franc Burundi;BIF;108
Franc CFA BCEAO;XOF;952
Franc CFA BEAC;XAF;950
Franc CFP;XPF;953
Franc Comorien;KMF;174
Franc Djiboutien;DJF;262
Franc Guinéen;GNF;324
Franc Rwandais;RWF;646
Franc Suisse;CHF;756
Franc WIR;CHW;948
Gourde;HTG;332
Guarani;PYG;600
Hryvnia;UAH;980
Indian Rupee Indienne;INR;356
Kina;PGK;598
Kip;LAK;418
Kuna;HRK;191
Kwacha;MWK;454
Kwacha Zambien;ZMW;967
Kwanza;AOA;973
Kyat;MMK;104
Lari;GEL;981
Le Colon Salvadorien;SVC;222
Le Franc Congolais;CDF;976
Lek;ALL;8
Lempira;HNL;340
Leone;SLL;694
Leu Moldavien;MDL;498
Leu Roumain;RON;946
Lev Bulgare;BGN;975
Lilangeni;SZL;748
Livre de Saint Helene;SHP;654
Livre des Îles Malouines;FKP;238
Livre Soudanais;SDG;938
Livre Sterling;GBP;826
Livre Sterlling;GBP;826
Livre sud-soudanaise;SSP;728
Livre Turque;TRY;949
Loti;LSL;426
Malagasy Ariary;MGA;969
Mark Convertible;BAM;977
Mauritius Rupee;MUR;480
Metical;MZN;943
Mexican Unidad de Inversion (UDI);MXV;979
Mvdol;BOV;984
Naira;NGN;566
Nakfa;ERN;232
Néo-Zélandais;NZD;554
Ngultrum;BTN;64
Nouveau dollars Taiwanais;TWD;901
Nouveau Sheqel Israélien;ILS;376
Nouveau Sol;PEN;604
Ouguiya;MRO;478
Pa’anga;TOP;776
Pataca;MOP;446
Peso Argentin;ARS;32
Peso Chilien;CLP;152
Peso Colombien;COP;170
Peso Convertible;CUC;931
Peso Cubain;CUP;192
Peso Dominicain;DOP;214
Peso Mexicain;MXN;484
Peso Phillipins;PHP;608
Peso Uruguayen;UYU;858
Pound de Gibraltar;GIP;292
Pound Égyptien;EGP;818
Pound Libanais;LBP;422
Pound Syrien;SYP;760
Pula;BWP;72
Quetzal;GTQ;320
Rand;ZAR;710
Real Brésilien;BRL;986
Rial du Yemenl;YER;886
Rial Iranien;IRR;364
Rial Omani;OMR;512
Rial Qatari;QAR;634
Riel;KHR;116
Ringgi Malaisien;MYR;458
Riyal Saoudiens;SAR;682
Ruble Biélorusse;BYR;974
Ruble Russe;RUB;643
Rufiyaa;MVR;462
Rupee des Seychelles;SCR;690
Rupee du Pakistan;PKR;586
Rupee Indienne;INR;356
Rupee Népalais;NPR;524
Rupee Sri Lankais;LKR;144
Rupiah;IDR;360
SDR (Droit de tirage spécial);XDR;960
Shilling Kenyan;KES;404
Shilling Ougandaisg;UGX;800
Shilling Somalien;SOS;706
Shilling Tanzanien;TZS;834
Som;KGS;417
Somoni;TJS;972
Sucre;XSU;994
Sum d'Oubekistan;UZS;860
Swiss Franc;CHF;756
Taka;BDT;50
Tala;WST;882
Tenge;KZT;398
Tugrik;MNT;496
Turkménistan Nouveau Manat;TMT;934
Unidad de Fomento;CLF;990
Unidad de Valor Real;COU;970
Unité de compte de la BAD;XUA;965
Uruguay Peso en Unidades Indexadas (URUIURUI);UYI;940
US Dollar;USD;840
Vatu;VUV;548
WIR Euro;CHE;947
Won;KRW;410
Won Nord-coréen;KPW;408
Yen;JPY;392
Yuan Renminbi;CNY;156
Zloty;PLN;985