AFGHANISTAN;0;0;93
AFRIQUE DU SUD;0;0;27
ALBANIE;0;0;355
ALGERIE;0;0;213
ALLEMAGNE;0;0;49
ANDORRE;0;0;376
ANGOLA;0;0;244
ANGUILLA;0;0;1264
ANTARCTIQUE;0;0;8888888
ANTIGUA-ET-BARBUDA;0;0;1268
ARABIE SAOUDITE;0;0;966
ARGENTINE;0;0;21
ARMENIE;0;0;374
ARUBA;0;0;297
AUSTRALIE;0;0;61
AUTRICHE;0;0;43
AZERBAIJAN;0;0;994
BAHAMAS (LES);0;0;1242
BAHRAIN;0;0;973
BANGLADESH;0;0;880
BARBADOS;0;0;1246
BELGIQUE;0;0;32
BELIZE;0;0;501
BENIN;0;0;229
BERMUDES;0;0;1441
BHUTAN;0;0;975
BIÉLORUSSIE;0;0;375
BOLIVIE (ÉTAT PLURINATIONAL DE );0;0;591
BOSNIE-HERZEGOVINE;0;0;387
BOTSWANA;0;0;267
BOUVET ILE;0;0;777777
BRUNEI DARUSSALAM;0;0;673
BRÉSIL;0;0;55
BULGARIE;0;0;359
BURKINA FASO;0;0;226
BURUNDI;0;0;257
CABO VERDE;0;0;238
CAMBODIA;0;0;855
CAMEROUNE;1;19.25;237
CANADA;0;0;1
CAYMAN ISLANDS (THE);0;0;1345
CENTRAL AFRICAN REPUBLIC (THE);1;19;236
CHILE;0;0;55
CHINE;0;0;86
CHYPRE;0;0;357
COCOS (KEELING) ILES (LES);0;0;61
COLOMBIE;0;0;57
COMORES (LES);0;0;269
CONGO (LA RÉPUBLIQUE DÉMOCRATIQUE DU);0;0;243
CONGO (LE);1;18;242
COOK ILES (LES);0;0;682
CORÉE (LA RÉPUBLIQUE DE);0;0;850
CORÉE (LA RÉPUBLIQUE DÉMOCRATIQUE DE );0;0;82
COSTA RICA;0;0;506
CROATIE;0;0;385
CUBA;0;0;53
CURAÇAO;0;0;599-9
CÔTE D'IVOIRE;0;0;225
DANEMARK;0;0;45
DJIBOUTI;0;0;253
DOMINIQUE;0;0;1767
EGYPTE;0;0;20
EQUATEUR;0;0;593
ERITHRÉE;0;0;291
ESPAGNE;0;0;34
ESTONIE;0;0;372
ETHIOPIE;0;0;251
FALKLAND ILES (LES) [MALOUINES];0;0;500
FIJI;0;0;679
FINLANDE;0;0;358
FRANCE;0;0;33
GABON;1;18;241
GAMBIE (LA);0;0;220
GEORGIE;0;0;995
GHANA;0;0;233
GIBRALTAR;0;0;350
GRECE;0;0;30
GRENADE;0;0;1473
GROENLAND;0;0;299
GUADELOUPE;0;0;(0)590
GUAM;0;0;666666
GUATEMALA;0;0;502
GUERNESEY;0;0;441481
GUINÉE;0;0;224
GUINÉE ÉQUATORIALE;1;15;240
GUINÉE-BISSAU;0;0;245
GUYANa;0;0;592
GUYANE FRANÇAISE;0;0;(0)594
GÉORGIE DU SUD ET LES ÎLES SANDWICH DU SUD;0;0;222
HAITI;0;0;509
HONDURAS;0;0;504
HONG KONG;0;0;852
HONGRIE;0;0;36
ILE DE MAN;0;0;1111111
ILE DU NORDFOLK;0;0;2222222222
ILES FEROÉS (LES);0;0;222222000
ILES MARIANNE DU NORD (THE);0;0;111111100
ILES MARSHALL (LES);0;0;22200
ILES VIERGES (BRITANIQUES);0;0;1284
ILES Åland;0;0;21440
INDE;0;0;91
INDONESIE;0;0;62
IRAN (RÉPUBLIQUE ISLAMIQUE D');0;0;98
IRAQ;0;0;964
IRLANDE;0;0;353
ISLANDE;0;0;354
ISRAEL;0;0;972
ITALIE;0;0;39
JAMAIQUE;0;0;1876
JAPON;0;0;81
JERSEY;0;0;441534
JORDANIE;0;0;962
KAZAKHSTAN;0;0;7
KENYA;0;0;254
KIRGHIZISTAN;0;0;996
KIRIBATI;0;0;686
KOWAIT;0;0;965
LAO RÉPUBLIQUE DÉMOCRATIQUE POPULAIRE DU (LA);0;0;856
LE SALVADOR;0;0;666622
LESOTHO;0;0;266
LETTONIE;0;0;371
LIBAN;0;0;961
LIBERIA;0;0;999999998
LIBYE;0;0;218
LIECHTENSTEIN;0;0;423
LITHUANIE;0;0;370
LUXEMBOURG;0;0;352
MACAO;0;0;853
MACEDONIE (ANCIENNE RÉPUBLIQUE YOUGOSLAVE DE);0;0;389
MADAGASCAR;0;0;261
MALAWI;0;0;265
MALAYSIE;0;0;60
MALDIVES;0;0;960
MALI;0;0;223
MALTE;0;0;356
MARTINIQUE;0;0;(0)596
MAURICE;0;0;230
MAURITANIE;0;0;222
MAYOTTE;0;0;269
MEXIQUE;0;0;52
MICRONESIE (ÉTATS FÉDÉRÉS DE);0;0;691
MOLDOVIE (LA RÉPUBLIQUE DE);0;0;373
MONACO;0;0;377
MONGOLIE;0;0;976
MONTENEGRO;0;0;55554
MONTSERRAT;0;0;1664
MOROCCO;0;0;212
MOZAMBIQUE;0;0;258
MYANMAR;0;0;95
NAMIBIE;0;0;264
NAURU;0;0;674
NICARAGUA;0;0;505
NIGER (LE);0;0;227
NIGERIA;0;0;234
NIUE;0;0;212121
NORVÈGE;0;0;47
NOUVELLE CALÉDONIE;0;0;687
NOUVELLE-ZÉLANDE;0;0;64
NÉPAL;0;0;977
OMAN;0;0;968
OUGANDA;0;0;256
OUZBEKISTAN;0;0;998
PAKISTAN;0;0;92
PALAU;0;0;680
PALESTINE, ÉTAT DE;0;0;970
PANAMA;0;0;507
PAPOUASIE NOUVELLE GUINÉE;0;0;675
PARAGUAY;0;0;595
PAYS BAS (LES);0;0;31
PAYS-BAS CARIBÉENS;0;0;454545
PEROU;0;0;51
PHILIPPINES (LES);0;0;63
PITCAIRN;0;0;636363
POLOGNE;0;0;48
POLYNÉSIE FRANÇAISE;0;0;689
PORTO RICO;0;0;1787
PORTUGAL;0;0;351
QATAR;0;0;974
ROUMANIE;0;0;40
ROYAUME-UNI DE GRANDE-BRETAGNE ET D'IRLANDE DU NORD (LE);0;0;44
RUSSIE FÉDÉRATION (LA);0;0;7
RWANDA;0;0;250
RÉPUBLIQUE DOMINICAINE (LA);0;0;1809
RÉPUBLIQUE TCHÈQUE (LA);0;0;420
RÉUNION;0;0;(0)262
SAHARA OCCIDENTAL;0;0;888888555
SAINT BARTHÉLEMY;0;0;66633222
SAINT KITTS AND NEVIS;0;0;1869
SAINT LUCIE;0;0;1758
SAINT MARIN;0;0;378
SAINT MARTIN (PARTIE FRANÇAISE);0;0;985566
SAINT PIERRE ET MIQUELON;0;0;508
SAINT SIÈGE(LE);0;0;154254
SAINT-VINCENT-ET-LES-GRENADINES;0;0;1784
Sainte-Hélène, Ascension et Tristan da CunhaA;0;0;45451
SAMOA;0;0;685
SAMOA AMÉRICAINE;0;0;84755
SAO TOME ET PRINCIPE;0;0;239
SERBIE;0;0;545454
SEYCHELLES;0;0;248
SIERRA LEONE;0;0;232
SINGAPOUR;0;0;65
SINT MAARTEN (PARTIE NEERLANDAISE);0;0;44414
"SISTEMA UNITARIO DE COMPENSACION REGIONAL DE PAGOS ""SUCRE""";0;0;441541
SLOVAQUIE;0;0;421
SLOVÉNIE;0;0;386
SOLOMON ILES S;0;0;677
SOMALIE;0;0;252
SOUDAN (LE);0;0;-249
SOUDAN DU SUD;0;0;249
SRI LANKA;0;0;94
SUISSE;0;0;41
SURINAME;0;0;597
SUÈDE;0;0;46
SVALBARD ET JAN MAYEN;0;0;415454
SWAZILAND;0;0;268
SYRIE, REPUBLIQUE ARABE DE;0;0;963
SéNéGAL;0;0;221
TADJIKISTAN;0;0;992
TAIWAN (PROVINCE DE CHINE);0;0;886
TANZANIE, RÉPUBLIQUE UNIE DE;0;0;255
TCHAD;1;18;235
TERRITOIRES ANGLAIS DE L'OCÉAN INDIEN (LES);0;0;4411444
TERRITOIRES DU SUD FRANÇAIS (LES);0;0;544414
THAILANDE;0;0;66
TIMOR-LESTE;0;0;5556665
TOGO;0;0;228
TOKELAU;0;0;2222
TONGA;0;0;676
TRINIDAD et TOBAGO;0;0;1868
TUNISIA;0;0;216
TURKMENISTAN;0;0;993
TURQUIE;0;0;90
TUVALU;0;0;688
UKRAINE;0;0;380
UNITED ARAB EMIRATES (THE);0;0;971
URUGUAY;0;0;598
VANUATU;0;0;678
VENEZUELA (RÉPUBLIQUE DE BOLIVARIE);0;0;58
VIETNAM;0;0;84
WALLIS ET FUTUNA;0;0;681
YEMEN;0;0;976
ZAMBIE;0;0;260
ZIMBABWE;0;0;263
ÉTATS-UNIS D'AMÉRIQUE (LES);0;0;1
ÎLE CHRISTMAS;0;0;24242474
ÎLE D'HEARD ET ÎLES McDONALD;0;0;22424
ÎLES MINEURES ÉLOIGNÉES DES ÉTATS-UNIS (LES);0;0;442424
ÎLES TURQUES-ET-CAIQUES (LES);0;0;77777444
ÎLES VIERGES (U.S.);0;0;1340